LLM,Benchmark,Max,Mean,STD,Q10,Q25,Q50,Q75,Q90,Skew,Kurt
qwen3-8b,gsm-test,0.711674406604747,0.7725920192638458,0.777640178878569,0.7509459924320606,0.7614035087719299,0.7484950120399035,0.7700894392844857,0.7801771585827313,0.7633212934296526,0.7651788785689715
qwen3-8b,mathhendrycks-test,0.5391664128337902,0.5697532744441061,0.5966341760584831,0.648365316275764,0.5925728500355366,0.5279469996954006,0.5592953599350188,0.5913925271601177,0.5520103563813585,0.5617067722611433
qwen3-8b,gpqa-test,0.5439473266698398,0.6236316039980963,0.62565445026178,0.6057432968427733,0.5852768522925591,0.6158575281611931,0.6315246707916865,0.6199428843407901,0.6343407900999524,0.6403696652387751
qwen3-8b,scibench-test,0.6002360216627635,0.5994035421545667,0.6231246340749415,0.6678223799765808,0.6385209309133489,0.5843640222482436,0.5883251610070257,0.6143698770491803,0.574740193208431,0.5774663348946136
qwen3-8b,svamp-test,0.7887011435398532,0.823690049496501,0.863457927974057,0.7480798771121352,0.741252773510838,0.7600273084144051,0.8257381805768902,0.851510496671787,0.786994367639529,0.789042498719918
qwen3-8b,livemathbench-test,0.42559523809523814,0.6168154761904762,0.5654761904761906,0.6592261904761905,0.6882440476190477,0.6428571428571428,0.6049107142857143,0.6026785714285714,0.6376488095238095,0.6458333333333333
qwen3-8b,gsmsymbolic-test,0.6304501248254046,0.72296062941215,0.7427193840041635,0.7153478528558304,0.6940887110438372,0.6858957539734427,0.7170544783729775,0.7367224534765946,0.7026673005355268,0.7071964609565935
qwen3-8b,theoremqa-test,0.5986864771748492,0.5656043640539764,0.5848693654895205,0.5875681883433822,0.575466551823141,0.5523112259546368,0.5619293712316968,0.5755167958656331,0.5494544932529428,0.5507105943152455
qwen3-8b,olympiadbench-test,0.7323389862918743,0.79348415856967,0.81036176544405,0.8235942299188508,0.8127520227552496,0.782044387078269,0.7828833673944999,0.804096901031396,0.7699114409666201,0.7698253917034168
qwen3-8b,matscibench-test,0.6311580382726627,0.6707113703161134,0.6804914453135797,0.6895436579231045,0.6766494375190029,0.6604015220616011,0.665257009130527,0.6773035923233551,0.6589550107336668,0.6593327620995606
phi3-3b,gsm-test,0.7074198119283782,0.7390871226759413,0.7396968525913521,0.7102194168920949,0.7318347717806689,0.7411954141440165,0.7341491691356435,0.7256730645369058,0.6901670316458414,0.6722444072308815
phi3-3b,mathhendrycks-test,0.7951608751608752,0.7283397683397683,0.7635006435006434,0.8248133848133847,0.8084084084084084,0.7357014157014157,0.693882453882454,0.7130158730158731,0.5960875160875161,0.5726469326469327
phi3-3b,gpqa-test,0.4693196405648267,0.443196405648267,0.446790757381258,0.4101412066752247,0.4209242618741977,0.4339537869062901,0.4498074454428755,0.4427471116816431,0.44351732991014114,0.4462130937098844
phi3-3b,scibench-test,0.7379414565478409,0.6648863495217985,0.71536662112367,0.6506127603196291,0.6368670558522751,0.6189293255496212,0.6147580010764708,0.6500124208172897,0.5296029478739701,0.5156398791040451
phi3-3b,svamp-test,0.8901585820895521,0.8428171641791045,0.8661380597014925,0.8228777985074627,0.8257929104477612,0.8011893656716418,0.8030550373134328,0.8303404850746269,0.7090718283582089,0.6707089552238806
phi3-3b,livemathbench-test,0.5602836879432624,0.6258865248226951,0.6081560283687943,0.6843971631205675,0.675531914893617,0.6276595744680851,0.6347517730496455,0.6347517730496455,0.6329787234042553,0.624113475177305
phi3-3b,gsmsymbolic-test,0.7264891743538066,0.7105072952928373,0.7305245032480294,0.7162692004454526,0.7217789907799075,0.6996135855575505,0.6840589217690703,0.6985186016727595,0.6442827743669345,0.6300097563959217
phi3-3b,theoremqa-test,0.6426132205870396,0.6172209122692902,0.6303845841125295,0.6273274249939019,0.6168387673794617,0.6103585657370518,0.6009106431417188,0.6136027319294252,0.5780144727213594,0.5732010732579884
phi3-3b,olympiadbench-test,0.7778409090909091,0.7268756845564075,0.7456325301204819,0.7588855421686749,0.7322836801752464,0.7028409090909091,0.7026903066812705,0.7279915115005476,0.6602820372398686,0.6497124863088718
phi3-3b,matscibench-test,0.6417900156293096,0.6395758634427385,0.6610355183721002,0.629393827955012,0.6299071435138366,0.6250574606968833,0.6183766970059146,0.6297845606938187,0.5902592626643376,0.5890640801691642
qwen3-4b,gsm-test,0.8143960339403186,0.8093049861759939,0.8100009533797311,0.7452188006482983,0.7604633425493373,0.793660024787873,0.8148250548193345,0.8002669463247212,0.764906092096482,0.7484888931261321
