LLM,Benchmark,n_samples,Mean,STD,Max,Q10,Q25,Q50,Q75,Q90,Skew,Kurt,SE_sum,NLL_avg,NLL_max,NLL_sum,LNTP,MTP,PPL
phi3-3b,gsm-test,1319,0.7390871226759413,0.7396968525913521,0.7074198119283782,0.7102194168920949,0.7318347717806689,0.7411954141440165,0.7341491691356435,0.7256730645369058,0.6901670316458414,0.6722444072308815,0.7648890033921595,0.7179655631413973,0.6751041264116104,0.7496543432521792,0.7179655631413973,0.6751041264116107,0.7179655631413973
phi3-3b,mathhendrycks-test,500,0.7283397683397683,0.7635006435006434,0.7951608751608752,0.8248133848133847,0.8084084084084084,0.7357014157014157,0.693882453882454,0.7130158730158731,0.5960875160875161,0.5726469326469327,0.8184298584298584,0.6982754182754183,0.6936765336765336,0.8086829686829686,0.6982754182754183,0.6936765336765337,0.6982754182754183
phi3-3b,olympiadbench-test,1438,0.7268756845564075,0.7456325301204819,0.7778409090909091,0.7588855421686749,0.7322836801752464,0.7028409090909091,0.7026903066812705,0.7279915115005476,0.6602820372398686,0.6497124863088718,0.7958242059145674,0.7187910733844469,0.6767798466593647,0.7907653340635268,0.7187910733844469,0.6767798466593646,0.7187910733844469
qwen3-4b,gsm-test,1319,0.8093049861759939,0.8100009533797311,0.8143960339403186,0.7452188006482983,0.7604633425493373,0.793660024787873,0.8148250548193345,0.8002669463247212,0.764906092096482,0.7484888931261321,0.8192582705691678,0.7869196300886644,0.7348031270855182,0.8050815139670131,0.7869196300886643,0.7348078939841739,0.7869196300886644
qwen3-4b,mathhendrycks-test,500,0.8759481853191737,0.9010678025440542,0.9195938849340648,0.8607188703465981,0.8373205741626794,0.81330960438791,0.829939316139573,0.8711634963239585,0.81853191737659,0.8152934998249504,0.9326642548722138,0.8746353133387793,0.8525790640681526,0.9324600303419303,0.8746353133387793,0.8525790640681526,0.8746353133387793
qwen3-4b,olympiadbench-test,1438,0.8679129635304934,0.8848686450778085,0.8471605032860013,0.8705370824394729,0.8631031429836211,0.852319355058399,0.8570674566690503,0.8732378179589335,0.8466412129260734,0.8483225218782988,0.897942418360745,0.86834286784486,0.7899438570504309,0.8980786256682672,0.8683428678448599,0.7899438570504307,0.86834286784486
qwen3-8b,gsm-test,1319,0.7725920192638458,0.777640178878569,0.711674406604747,0.7509459924320606,0.7614035087719299,0.7484950120399035,0.7700894392844857,0.7801771585827313,0.7633212934296526,0.7651788785689715,0.8032077743378053,0.7700636394908841,0.6587289301685586,0.8011523907808737,0.7700636394908841,0.6587289301685586,0.7700636394908841
qwen3-8b,mathhendrycks-test,500,0.5697532744441061,0.5966341760584831,0.5391664128337902,0.648365316275764,0.5925728500355366,0.5279469996954006,0.5592953599350188,0.5914052188039395,0.5520103563813585,0.5617067722611433,0.6013554675601585,0.5688648593765865,0.5124885775205605,0.5992994212610416,0.5688648593765864,0.5124885775205604,0.5688648593765865
qwen3-8b,olympiadbench-test,1438,0.79348415856967,0.81036176544405,0.7323389862918743,0.8235942299188508,0.8127520227552496,0.782044387078269,0.7828845625231555,0.804096901031396,0.7699114409666201,0.7698253917034168,0.7949924109330369,0.7907449236910353,0.6028348451710827,0.7923224935164271,0.7907449236910353,0.6028348451710827,0.7907449236910353
ministral3-3b,gsm-test,1319,0.7823071415786648,0.7872591134180538,0.7771239782829186,0.7741483205059363,0.7679210667621265,0.7726194737784142,0.7775341566732296,0.7754236024103573,0.7457416025296819,0.7368220869876498,0.8144800429568642,0.7255533679374737,0.44320147962532064,0.8009217827098623,0.7255533679374739,0.44320147962532064,0.7255533679374739
