llm,group,benchmark,auroc,n,acc
phi3-3b,extremes,gsmsymbolic-test,0.755700,5000,0.688400
phi3-3b,extremes,svamp-test,0.856926,300,0.893333
phi3-3b,extremes,mathhendrycks-test,0.843707,500,0.370000
phi3-3b,extremes,gpqa-test,0.581451,448,0.084821
phi3-3b,extremes,scibench-test,0.723658,692,0.280347
phi3-3b,extremes,theoremqa-test,0.658029,747,0.327979
phi3-3b,extremes,livemathbench-test,0.865248,100,0.060000
phi3-3b,extremes,matscibench-test,0.664613,1025,0.145366
phi3-3b,extremes,__pooled__,0.838915,8812,0.513731
phi3-3b,intermediate,gsm-test,0.742456,1319,0.840788
phi3-3b,intermediate,gsmsymbolic-test,0.744922,5000,0.688400
phi3-3b,intermediate,svamp-test,0.846782,300,0.893333
phi3-3b,intermediate,olympiadbench-test,0.742816,1438,0.076495
phi3-3b,intermediate,gpqa-test,0.494063,448,0.084821
phi3-3b,intermediate,theoremqa-test,0.663095,747,0.327979
phi3-3b,intermediate,livemathbench-test,0.716312,100,0.060000
phi3-3b,intermediate,matscibench-test,0.678113,1025,0.145366
phi3-3b,intermediate,__pooled__,0.860829,10377,0.517202
ministral3-3b,extremes,gsmsymbolic-test,0.709803,5000,0.810800
ministral3-3b,extremes,svamp-test,0.806109,300,0.916667
ministral3-3b,extremes,mathhendrycks-test,0.795281,500,0.768000
ministral3-3b,extremes,gpqa-test,0.499866,448,0.154018
ministral3-3b,extremes,scibench-test,0.625314,692,0.371387
ministral3-3b,extremes,theoremqa-test,0.593311,747,0.471218
ministral3-3b,extremes,livemathbench-test,0.490015,100,0.070000
ministral3-3b,extremes,matscibench-test,0.650340,1025,0.239024
ministral3-3b,extremes,__pooled__,0.806778,8812,0.640377
ministral3-3b,intermediate,gsm-test,0.778795,1319,0.915845
ministral3-3b,intermediate,gsmsymbolic-test,0.727744,5000,0.810800
ministral3-3b,intermediate,svamp-test,0.782400,300,0.916667
ministral3-3b,intermediate,olympiadbench-test,0.769683,1438,0.275382
ministral3-3b,intermediate,gpqa-test,0.573152,448,0.154018
ministral3-3b,intermediate,theoremqa-test,0.626082,747,0.471218
ministral3-3b,intermediate,livemathbench-test,0.780338,100,0.070000
ministral3-3b,intermediate,matscibench-test,0.660994,1025,0.239024
ministral3-3b,intermediate,__pooled__,0.847303,10377,0.636600
ministral3-8b,extremes,gsmsymbolic-test,0.737672,5000,0.883200
ministral3-8b,extremes,svamp-test,0.861674,300,0.926667
ministral3-8b,extremes,mathhendrycks-test,0.829097,500,0.816000
ministral3-8b,extremes,gpqa-test,0.560560,448,0.223214
ministral3-8b,extremes,scibench-test,0.605398,692,0.450867
ministral3-8b,extremes,theoremqa-test,0.614425,747,0.568942
ministral3-8b,extremes,livemathbench-test,0.509158,100,0.090000
ministral3-8b,extremes,matscibench-test,0.634359,1025,0.377561
ministral3-8b,extremes,__pooled__,0.822963,8812,0.718906
ministral3-8b,intermediate,gsm-test,0.765004,1319,0.934799
ministral3-8b,intermediate,gsmsymbolic-test,0.667124,5000,0.883200
ministral3-8b,intermediate,svamp-test,0.837802,300,0.926667
ministral3-8b,intermediate,olympiadbench-test,0.775507,1438,0.320584
ministral3-8b,intermediate,gpqa-test,0.517083,448,0.223214
ministral3-8b,intermediate,theoremqa-test,0.628462,747,0.568942
ministral3-8b,intermediate,livemathbench-test,0.686203,100,0.090000
ministral3-8b,intermediate,matscibench-test,0.619537,1025,0.377561
ministral3-8b,intermediate,__pooled__,0.837189,10377,0.704346
qwen3-4b,extremes,gsmsymbolic-test,0.780006,5000,0.867400
qwen3-4b,extremes,svamp-test,0.833302,300,0.936667
qwen3-4b,extremes,mathhendrycks-test,0.921257,500,0.836000
qwen3-4b,extremes,gpqa-test,0.640400,448,0.234375
qwen3-4b,extremes,scibench-test,0.689270,692,0.400289
qwen3-4b,extremes,theoremqa-test,0.655146,747,0.560910
