llm,group,benchmark,auroc,aee,n,in_domain
phi3-3b,extremes,gsm-test,0.691870,0.030292,264,1
phi3-3b,extremes,gsmsymbolic-test,0.755700,0.087070,5000,0
phi3-3b,extremes,svamp-test,0.856926,0.055257,300,0
phi3-3b,extremes,mathhendrycks-test,0.843707,0.006806,500,0
phi3-3b,extremes,olympiadbench-test,0.839366,0.046246,288,1
phi3-3b,extremes,gpqa-test,0.581451,0.037646,448,0
phi3-3b,extremes,scibench-test,0.723658,0.001068,692,0
phi3-3b,extremes,theoremqa-test,0.658029,0.002839,747,0
phi3-3b,extremes,livemathbench-test,0.865248,0.020171,100,0
phi3-3b,extremes,matscibench-test,0.664613,0.032157,1025,0
phi3-3b,intermediate,gsm-test,0.742456,0.167612,1319,0
phi3-3b,intermediate,gsmsymbolic-test,0.744922,0.056843,5000,0
phi3-3b,intermediate,svamp-test,0.846782,0.179601,300,0
phi3-3b,intermediate,mathhendrycks-test,0.852879,0.045337,100,1
phi3-3b,intermediate,olympiadbench-test,0.742816,0.106803,1438,0
phi3-3b,intermediate,gpqa-test,0.494063,0.091084,448,0
phi3-3b,intermediate,scibench-test,0.799028,0.066374,139,1
phi3-3b,intermediate,theoremqa-test,0.663095,0.019535,747,0
phi3-3b,intermediate,livemathbench-test,0.716312,0.106126,100,0
phi3-3b,intermediate,matscibench-test,0.678113,0.060078,1025,0
ministral3-3b,extremes,gsm-test,0.771493,0.035775,264,1
ministral3-3b,extremes,gsmsymbolic-test,0.709803,0.006321,5000,0
ministral3-3b,extremes,svamp-test,0.806109,0.060808,300,0
ministral3-3b,extremes,mathhendrycks-test,0.795281,0.085396,500,0
ministral3-3b,extremes,olympiadbench-test,0.832176,0.076955,288,1
ministral3-3b,extremes,gpqa-test,0.499866,0.039390,448,0
ministral3-3b,extremes,scibench-test,0.625314,0.069252,692,0
ministral3-3b,extremes,theoremqa-test,0.593311,0.084319,747,0
ministral3-3b,extremes,livemathbench-test,0.490015,0.157874,100,0
ministral3-3b,extremes,matscibench-test,0.650340,0.066824,1025,0
ministral3-3b,intermediate,gsm-test,0.778795,0.095674,1319,0
ministral3-3b,intermediate,gsmsymbolic-test,0.727744,0.047157,5000,0
ministral3-3b,intermediate,svamp-test,0.782400,0.110873,300,0
ministral3-3b,intermediate,mathhendrycks-test,0.833750,0.088017,100,1
ministral3-3b,intermediate,olympiadbench-test,0.769683,0.196356,1438,0
ministral3-3b,intermediate,gpqa-test,0.573152,0.121644,448,0
ministral3-3b,intermediate,scibench-test,0.589515,0.060527,139,1
ministral3-3b,intermediate,theoremqa-test,0.626082,0.043374,747,0
ministral3-3b,intermediate,livemathbench-test,0.780338,0.364098,100,0
ministral3-3b,intermediate,matscibench-test,0.660994,0.076501,1025,0
ministral3-8b,extremes,gsm-test,0.815797,0.057456,264,1
ministral3-8b,extremes,gsmsymbolic-test,0.737672,0.059156,5000,0
ministral3-8b,extremes,svamp-test,0.861674,0.051683,300,0
ministral3-8b,extremes,mathhendrycks-test,0.829097,0.115592,500,0
ministral3-8b,extremes,olympiadbench-test,0.833362,0.058560,288,1
ministral3-8b,extremes,gpqa-test,0.560560,0.029920,448,0
ministral3-8b,extremes,scibench-test,0.605398,0.037939,692,0
ministral3-8b,extremes,theoremqa-test,0.614425,0.127737,747,0
ministral3-8b,extremes,livemathbench-test,0.509158,0.167724,100,0
ministral3-8b,extremes,matscibench-test,0.634359,0.054221,1025,0
ministral3-8b,intermediate,gsm-test,0.765004,0.106322,1319,0
ministral3-8b,intermediate,gsmsymbolic-test,0.667124,0.110075,5000,0
ministral3-8b,intermediate,svamp-test,0.837802,0.122218,300,0
ministral3-8b,intermediate,mathhendrycks-test,0.736607,0.067651,100,1
ministral3-8b,intermediate,olympiadbench-test,0.775507,0.200666,1438,0
ministral3-8b,intermediate,gpqa-test,0.517083,0.161763,448,0
ministral3-8b,intermediate,scibench-test,0.578355,0.091484,139,1
ministral3-8b,intermediate,theoremqa-test,0.628462,0.055867,747,0
ministral3-8b,intermediate,livemathbench-test,0.686203,0.379356,100,0
ministral3-8b,intermediate,matscibench-test,0.619537,0.027583,1025,0
qwen3-4b,extremes,gsm-test,0.871143,0.040545,264,1
qwen3-4b,extremes,gsmsymbolic-test,0.780006,0.007453,5000,0
qwen3-4b,extremes,svamp-test,0.833302,0.050142,300,0
qwen3-4b,extremes,mathhendrycks-test,0.921257,0.047295,500,0
qwen3-4b,extremes,olympiadbench-test,0.862397,0.004128,288,1
qwen3-4b,extremes,gpqa-test,0.640400,0.018705,448,0
qwen3-4b,extremes,scibench-test,0.689270,0.265876,692,0
qwen3-4b,extremes,theoremqa-test,0.655146,0.064040,747,0
qwen3-4b,extremes,livemathbench-test,0.672348,0.109808,100,0
qwen3-4b,extremes,matscibench-test,0.664743,0.236137,1025,0
qwen3-4b,intermediate,gsm-test,0.725856,0.191899,1319,0
qwen3-4b,intermediate,gsmsymbolic-test,0.712536,0.154029,5000,0
qwen3-4b,intermediate,svamp-test,0.782731,0.233827,300,0
qwen3-4b,intermediate,mathhendrycks-test,0.952446,0.224423,100,1
qwen3-4b,intermediate,olympiadbench-test,0.891858,0.020720,1438,0
qwen3-4b,intermediate,gpqa-test,0.645162,0.032711,448,0
qwen3-4b,intermediate,scibench-test,0.787181,0.067758,139,1
qwen3-4b,intermediate,theoremqa-test,0.671125,0.049147,747,0
qwen3-4b,intermediate,livemathbench-test,0.637311,0.161910,100,0
qwen3-4b,intermediate,matscibench-test,0.662880,0.115765,1025,0
qwen3-8b,extremes,gsm-test,0.699098,0.196932,264,1
qwen3-8b,extremes,gsmsymbolic-test,0.734590,0.113690,5000,0
qwen3-8b,extremes,svamp-test,0.776924,0.291688,300,0
qwen3-8b,extremes,mathhendrycks-test,0.722434,0.048081,500,0
qwen3-8b,extremes,olympiadbench-test,0.838936,0.191266,288,1
qwen3-8b,extremes,gpqa-test,0.567964,0.061307,448,0
qwen3-8b,extremes,scibench-test,0.688726,0.038595,692,0
qwen3-8b,extremes,theoremqa-test,0.606115,0.063261,747,0
qwen3-8b,extremes,livemathbench-test,0.633185,0.250965,100,0
qwen3-8b,extremes,matscibench-test,0.605770,0.009426,1025,0
qwen3-8b,intermediate,gsm-test,0.765678,0.312353,1319,0
qwen3-8b,intermediate,gsmsymbolic-test,0.726971,0.203656,5000,0
qwen3-8b,intermediate,svamp-test,0.854071,0.385751,300,0
qwen3-8b,intermediate,mathhendrycks-test,0.698795,0.122234,100,1
qwen3-8b,intermediate,olympiadbench-test,0.842695,0.211980,1438,0
qwen3-8b,intermediate,gpqa-test,0.567032,0.094759,448,0
