group,benchmark,auroc_median,auroc_iqr,auroc_q25,auroc_q75,aee_median,aee_iqr,aee_q25,aee_q75,n_llms,in_domain
extremes,gsm-test,0.771493,0.085059,0.730737,0.815797,0.047614,0.032837,0.035775,0.068611,9,1
extremes,gsmsymbolic-test,0.750467,0.045416,0.734590,0.780006,0.044520,0.063279,0.023791,0.087070,9,0
extremes,svamp-test,0.833302,0.070864,0.786062,0.856926,0.089866,0.067605,0.055257,0.122862,9,0
extremes,mathhendrycks-test,0.843707,0.031411,0.827430,0.858841,0.061532,0.038101,0.047295,0.085396,9,0
extremes,olympiadbench-test,0.839366,0.029035,0.833362,0.862397,0.058560,0.030708,0.046246,0.076955,9,1
extremes,gpqa-test,0.581451,0.027223,0.560560,0.587783,0.039390,0.032921,0.029920,0.062841,9,0
extremes,scibench-test,0.689270,0.111077,0.625314,0.736391,0.123371,0.167213,0.038595,0.205807,9,0
extremes,theoremqa-test,0.649991,0.051914,0.606115,0.658029,0.063261,0.076552,0.007767,0.084319,9,0
extremes,livemathbench-test,0.570991,0.163191,0.509158,0.672348,0.115512,0.082157,0.085567,0.167724,9,0
extremes,matscibench-test,0.664613,0.021636,0.650340,0.671976,0.141403,0.102527,0.054221,0.156749,9,0
intermediate,gsm-test,0.742456,0.038085,0.727593,0.765678,0.191899,0.069914,0.167612,0.237526,9,0
intermediate,gsmsymbolic-test,0.726971,0.032386,0.712536,0.744922,0.154029,0.106836,0.110075,0.216911,9,0
intermediate,svamp-test,0.823273,0.064051,0.782731,0.846782,0.233827,0.102023,0.179601,0.281624,9,0
intermediate,mathhendrycks-test,0.839962,0.038347,0.814532,0.852879,0.107835,0.058723,0.088017,0.146740,9,1
intermediate,olympiadbench-test,0.835205,0.083375,0.769683,0.853059,0.106803,0.144240,0.052116,0.196356,9,0
intermediate,gpqa-test,0.585356,0.042620,0.567032,0.609651,0.094759,0.091570,0.070193,0.161763,9,0
intermediate,scibench-test,0.734403,0.198906,0.589515,0.788421,0.091484,0.030225,0.066374,0.096599,9,1
intermediate,theoremqa-test,0.641329,0.036865,0.628462,0.665327,0.049147,0.036332,0.019535,0.055867,9,0
intermediate,livemathbench-test,0.614342,0.112148,0.574055,0.686203,0.161910,0.199401,0.106126,0.305527,9,0
intermediate,matscibench-test,0.660994,0.030335,0.647778,0.678113,0.081152,0.055687,0.060078,0.115765,9,0
