temperature,metric,auroc_mean,auroc_std,n_seeds
0.3,Kurt,0.5927662044155677,0.032369950650150706,3
0.3,LNTP,0.6469877350614938,0.016278833007614825,3
0.3,MTP,0.6749558387233215,0.015412463095399967,3
0.3,Max,0.7100466313921242,0.005853056220834161,3
0.3,Mean,0.6731228016277756,0.02505387703357537,3
0.3,NLL_avg,0.6469877350614938,0.016278833007614825,3
0.3,NLL_max,0.6749448731921112,0.015423005747631615,3
0.3,NLL_sum,0.7756488686118607,0.010227981295190688,3
0.3,PPL,0.6469877350614938,0.016278833007614825,3
0.3,Q10,0.8254913842499736,0.011666547519740677,3
0.3,Q25,0.8062741613484018,0.012567140636723253,3
0.3,Q50,0.7216759300465384,0.009061662835615443,3
0.3,Q75,0.6708822315178181,0.020180121040425866,3
0.3,Q90,0.6769941410548324,0.01723739549138705,3
0.3,SE_sum,0.8005241773781696,0.015009807702540155,3
0.3,STD,0.6679347127165448,0.022803018204380326,3
0.3,Skew,0.6123867827116146,0.03106017789157729,3
0.5,Kurt,0.5630956431461897,0.013282190553280107,3
0.5,LNTP,0.6623926947592623,0.036187870918690544,3
0.5,MTP,0.6799948787119073,0.015994190829058424,3
0.5,Max,0.7534277205815402,0.02649595128095632,3
0.5,Mean,0.6871252428960389,0.028535651783440908,3
0.5,NLL_avg,0.6623926947592622,0.036187870918690676,3
0.5,NLL_max,0.6799948787119073,0.015994190829058345,3
0.5,NLL_sum,0.7911541023863048,0.02289117216792336,3
0.5,PPL,0.6623926947592622,0.036187870918690676,3
0.5,Q10,0.8177099296127389,0.012144540779860512,3
0.5,Q25,0.8012463197771075,0.01130352054681294,3
0.5,Q50,0.7247501539333806,0.01644882352917657,3
0.5,Q75,0.6708805728176847,0.02261223198944579,3
0.5,Q90,0.6758479525330956,0.033110578813384035,3
0.5,SE_sum,0.8096676754034968,0.014109279570421936,3
0.5,STD,0.7031665130003198,0.030733653342669375,3
0.5,Skew,0.590690921001188,0.015794984392931005,3
0.7,Kurt,0.5945307492822555,0.02041761333415478,3
0.7,LNTP,0.6972184946695031,0.015909630587045746,3
0.7,MTP,0.6868165678089527,0.018735009865806864,3
0.7,Max,0.7818972752427705,0.010623306199102922,3
0.7,Mean,0.729610983539851,0.0148162876094173,3
0.7,NLL_avg,0.6972184946695031,0.01590963058704583,3
0.7,NLL_max,0.6868165678089527,0.018735009865806895,3
0.7,NLL_sum,0.8055860948275022,0.022327888088718908,3
0.7,PPL,0.6972184946695031,0.01590963058704583,3
0.7,Q10,0.8332027507999916,0.004392668532487294,3
0.7,Q25,0.8161830972577827,0.006739712856435751,3
0.7,Q50,0.7577233635212739,0.0063373402679913395,3
0.7,Q75,0.7025462375612465,0.015163992173440662,3
0.7,Q90,0.7119856553301877,0.018402633742442293,3
0.7,SE_sum,0.8234337721275796,0.018292684763233084,3
0.7,STD,0.7514849273798535,0.010057571639167585,3
0.7,Skew,0.6218186118454395,0.02266981736240346,3
1.0,Kurt,0.5948795710414346,0.01365049449072544,3
1.0,LNTP,0.723353203453085,0.01240096234428417,3
1.0,MTP,0.6924057332318192,0.012899834808064971,3
1.0,Max,0.7817229495456592,0.01593254715331238,3
1.0,Mean,0.7390519831995612,0.012720351288342712,3
1.0,NLL_avg,0.723353203453085,0.012400962344284162,3
1.0,NLL_max,0.6924057332318192,0.012899834808064971,3
1.0,NLL_sum,0.8061531864748918,0.0077473871111451995,3
1.0,PPL,0.723353203453085,0.012400962344284162,3
1.0,Q10,0.8133273359482859,0.0158456194239042,3
1.0,Q25,0.7933142481691742,0.012894039385506605,3
1.0,Q50,0.7340141583937277,0.001517565340771263,3
1.0,Q75,0.7048758204020645,0.007792779153573622,3
1.0,Q90,0.7317008573660219,0.015462007682189907,3
1.0,SE_sum,0.8128388280895065,0.001696244448011484,3
1.0,STD,0.7634559206631915,0.010419729370280654,3
1.0,Skew,0.618809809706533,0.013800894193424562,3
