MODEL,feature_set,pearson_r,pearson_p,auroc_bad4,mae
llama3-8b,L,0.7502786195075808,0.007816528321502494,0.8928571428571428,0.6669088241259549
llama3-8b,ES,0.8922548455403035,0.00022121900266205177,1.0,0.47358689072103677
llama3-8b,ES + L,0.8926991805561222,0.0002172871554144531,1.0,0.4767014613359606
gemma3-4b,L,0.36933967297281056,0.2636224174153523,0.6071428571428572,0.9745381812247209
gemma3-4b,ES,0.7919532448421972,0.003668572071377872,0.8214285714285714,0.6234104733018784
gemma3-4b,ES + L,0.7943904661522883,0.0034922760072285185,0.8214285714285714,0.6210587661577424
gemma3-12b,L,0.35539650727390865,0.28345605094196274,0.75,0.7400239957581884
gemma3-12b,ES,0.8426569231260422,0.0011282537263714875,0.8214285714285714,0.5134309334665977
gemma3-12b,ES + L,0.847236930737643,0.0009947111515379522,0.8214285714285714,0.5081378157214846
phi3-3b,L,0.12692380135385306,0.7099819877006232,0.5,0.5242270784454508
phi3-3b,ES,0.9094679175102921,0.0001036949700136801,0.9642857142857143,0.27538045317094695
phi3-3b,ES + L,0.9127649761953969,8.818115527084931e-05,0.9642857142857143,0.27066837061187043
ministral3-3b,L,0.11413715989526903,0.7382642863544273,0.4642857142857143,0.49582385396702916
ministral3-3b,ES,-0.21569890780734438,0.524131474915995,0.25,0.5751123572159131
ministral3-3b,ES + L,-0.12782752008642406,0.7079950184117083,0.2857142857142857,0.5610860295613137
ministral3-8b,L,-0.13574314375126206,0.6906622093480588,0.6071428571428571,0.5531030708779148
ministral3-8b,ES,0.38477871251144385,0.2426071866569911,0.8214285714285714,0.5872871522994738
ministral3-8b,ES + L,0.36912704120476547,0.2639188062636325,0.8214285714285714,0.5913716058827879
oss-20b,L,-0.08981177868018472,0.7928552426356676,0.5714285714285714,0.462214173939169
oss-20b,ES,0.5407186179490866,0.08589596867430443,0.75,0.4004297692566666
oss-20b,ES + L,0.5932666259648458,0.05436403050110187,0.6785714285714286,0.3994442838153187
qwen3-4b,L,0.004716966714543719,0.9890181985736499,0.3571428571428571,0.5400446209383774
qwen3-4b,ES,0.21835381699535877,0.5189106881850031,0.5,0.5464774131589262
qwen3-4b,ES + L,0.12632205242707217,0.7113059287017797,0.4285714285714286,0.5544344511040499
qwen3-8b,L,0.40212417543387036,0.22019134285388658,0.6428571428571428,0.4275023874122924
qwen3-8b,ES,0.5388515852637434,0.08719807779802938,0.7142857142857142,0.33878401632993743
qwen3-8b,ES + L,0.5080287080456725,0.11060488336162884,0.6785714285714285,0.3433824415414812
