MODEL,feature_set,n_categories,pearson_r,pearson_p,fisher_ci_lo,fisher_ci_hi,boot_ci_lo,boot_ci_hi
llama3-8b,L,11,0.7502786195075812,0.007816528321502437,0.27349759970858534,0.9310933059133416,0.45833780128201956,0.9215737346685348
llama3-8b,ES,11,0.8922548455403034,0.00022121900266205177,0.6291004064155788,0.971918729645977,0.5662927955575459,0.9780286228931547
llama3-8b,ES + L,11,0.8926991805561221,0.00021728715541445505,0.6304180153161277,0.9720393897048946,0.5607477898744427,0.978803666839077
gemma3-4b,L,11,0.3693396729728112,0.26362241741535136,-0.29614953253178417,0.7934252578516505,-0.4180122379564562,0.7802451735225231
gemma3-4b,ES,11,0.7919532448421971,0.003668572071377872,0.365914151681524,0.9435657034337185,0.16625042461041278,0.9447729370164036
gemma3-4b,ES + L,11,0.7943904661522883,0.0034922760072285185,0.37159208250619613,0.9442820438392435,0.14941032787687641,0.946574954497934
gemma3-12b,L,11,0.35539650727391175,0.28345605094195825,-0.31072252395256417,0.7874024489636788,-0.29701085884774964,0.9021304118084522
gemma3-12b,ES,11,0.842656923126042,0.0011282537263714875,0.4909533410782754,0.9581817579069801,0.2375182797175804,0.9455052083066857
gemma3-12b,ES + L,11,0.8472369307376427,0.0009947111515379646,0.5030096766241909,0.9594729801842636,0.2716939356774025,0.947890667705878
phi3-3b,L,11,0.12692380135385317,0.7099819877006232,-0.5119286492396472,0.6753767019390805,-0.4389259760474151,0.6159042228943901
phi3-3b,ES,11,0.9094679175102918,0.00010369497001368121,0.6812730545460496,0.976562551856172,0.6549423031858416,0.9832791401464132
phi3-3b,ES + L,11,0.9127649761953968,8.818115527085028e-05,0.6915381533624958,0.9774449758079772,0.6616914076125521,0.9865327678794215
ministral3-3b,L,11,0.11413715989526907,0.7382642863544273,-0.5214398104612755,0.6682578731507018,-0.7126060634749444,0.6048221097373744
ministral3-3b,ES,11,-0.2156989078073448,0.5241314749159941,-0.7221351339432861,0.4412735419224584,-0.8339053621744222,0.3737237644236073
ministral3-3b,ES + L,11,-0.12782752008642312,0.7079950184117103,-0.6758760001563292,0.5112504518505959,-0.8093013406683208,0.4900317644180027
ministral3-8b,L,11,-0.13574314375126184,0.6906622093480598,-0.6802279313974032,0.5052759443969955,-0.7506031652325674,0.7895068640607416
ministral3-8b,ES,11,0.38477871251144347,0.24260718665699169,-0.2796433335497938,0.7999987145024232,-0.03863027797735528,0.7442243224355983
ministral3-8b,ES + L,11,0.3691270412047657,0.2639188062636325,-0.2963741201466054,0.7933340300311127,-0.062466124528061884,0.7681001255511924
oss-20b,L,11,-0.08981177868018561,0.7928552426356656,-0.6544288850870755,0.5391081398514781,-0.5604197356099626,0.49064804761314734
oss-20b,ES,11,0.5407186179490868,0.08589596867430428,-0.08755655352099911,0.8612390446434405,-0.08214165550482597,0.8508369343620925
oss-20b,ES + L,11,0.5932666259648444,0.05436403050110266,-0.010259652537474599,0.8799720575882812,-0.05957657973450569,0.8741086314437743
qwen3-4b,L,11,0.004716966714543427,0.9890181985736505,-0.5968468791194385,0.6028860596560244,-0.5901251191332338,0.6415354014820198
qwen3-4b,ES,11,0.21835381699536005,0.5189106881850005,-0.4390271699912178,0.7234656793461997,-0.6033089435126076,0.7289041401481592
qwen3-4b,ES + L,11,0.1263220524270714,0.7113059287017811,-0.5123797915719809,0.6750439608120226,-0.6886408756438963,0.6954311839867232
qwen3-8b,L,11,0.40212417543386997,0.22019134285388686,-0.2606182879563058,0.8072668519787529,-0.16765051343193574,0.8329257643527459
qwen3-8b,ES,11,0.538851585263743,0.08719807779802968,-0.09017044908809396,0.8605570411260711,-0.05301298086664116,0.9281558432674193
qwen3-8b,ES + L,11,0.5080287080456716,0.11060488336162957,-0.1321061460720941,0.8491286115835804,-0.07548691216145657,0.9291972385817777
