MODEL,feature_set,n_categories,auroc_bad4,perm_p,n_subsets
llama3-8b,L,11,0.8928571428571428,0.021212121212121213,330
llama3-8b,ES,11,1.0,0.0030303030303030303,330
llama3-8b,ES + L,11,1.0,0.0030303030303030303,330
gemma3-4b,L,11,0.6071428571428572,0.3242424242424242,330
gemma3-4b,ES,11,0.8214285714285714,0.05454545454545454,330
gemma3-4b,ES + L,11,0.8214285714285714,0.05454545454545454,330
gemma3-12b,L,11,0.75,0.11515151515151516,330
gemma3-12b,ES,11,0.8214285714285714,0.05454545454545454,330
gemma3-12b,ES + L,11,0.8214285714285714,0.05454545454545454,330
phi3-3b,L,11,0.5,0.5363636363636364,330
phi3-3b,ES,11,0.9642857142857143,0.006060606060606061,330
phi3-3b,ES + L,11,0.9642857142857143,0.006060606060606061,330
ministral3-3b,L,11,0.4642857142857143,0.6060606060606061,330
ministral3-3b,ES,11,0.25,0.9181818181818182,330
ministral3-3b,ES + L,11,0.2857142857142857,0.8848484848484849,330
ministral3-8b,L,11,0.6071428571428571,0.3242424242424242,330
ministral3-8b,ES,11,0.8214285714285714,0.05454545454545454,330
ministral3-8b,ES + L,11,0.8214285714285714,0.05454545454545454,330
oss-20b,L,11,0.5714285714285714,0.3939393939393939,330
oss-20b,ES,11,0.75,0.11515151515151516,330
oss-20b,ES + L,11,0.6785714285714286,0.20606060606060606,330
qwen3-4b,L,11,0.3571428571428571,0.793939393939394,330
qwen3-4b,ES,11,0.5,0.5363636363636364,330
qwen3-4b,ES + L,11,0.4285714285714286,0.6757575757575758,330
qwen3-8b,L,11,0.6428571428571428,0.2636363636363636,330
qwen3-8b,ES,11,0.7142857142857142,0.15757575757575756,330
qwen3-8b,ES + L,11,0.6785714285714285,0.20606060606060606,330
