method,extremes_mae_median,extremes_mae_iqr,intermediate_mae_median,intermediate_mae_iqr
ATC[max],0.07383324167105894,0.008122608566875508,0.0785425401511516,0.023837480456216448
ATC[nll_sum],0.09090190290896269,0.03934833617021523,0.0825734621323829,0.017214984562108987
ATC[se_sum],0.0971669758215925,0.0321319219393609,0.08860344057209982,0.013570219097580688
ATC[nll_max],0.10212860771684593,0.12363172532983527,0.10602597648287257,0.11675942131958773
ATC[mtp],0.10212860771684593,0.12363172532983527,0.10602597648287257,0.11675942131958773
ES,0.08086189568486367,0.021988313694874015,0.12878611343284882,0.019448885363970547
ATC[q10],0.10335941505825304,0.03953775514189198,0.12346741904814287,0.07754327589864046
ATC[q25],0.10129780515103859,0.060987480055971405,0.13594008212497657,0.0807542411674569
ATC[std],0.10755907768232116,0.08561743240223968,0.14802896583477848,0.09782926517562017
ATC[q50],0.1258411780031116,0.06070172926273901,0.16493382145350824,0.09046909677314663
ATC[mean],0.14371291686014015,0.08269651308243009,0.1871512051301182,0.10462287860431903
ATC[q75],0.14456205231442693,0.08245030060100624,0.18745364097200018,0.08848836736581318
ATC[q90],0.15779050755614707,0.09026245154347598,0.1858830187401588,0.09343522930965603
ATC[nll_avg],0.16343827693626814,0.03634925111696094,0.19484748459121462,0.026511767964619792
ATC[ppl],0.16343827693626814,0.03634925111696094,0.19484748459121462,0.026511767964619792
ATC[skewness],0.17472966845826784,0.1024518178574107,0.1991245711017529,0.045362825076185775
ATC[lntp],0.19232853364075872,0.10391287418148373,0.19889751387840177,0.14420504243840931
ATC[kurtosis],0.18625480022854765,0.09727232681965439,0.20895076702412047,0.041795283245560255
