method,mae_median,mae_iqr,mae_q01,mae_q02,mae_q03,mae_q04,mae_q05,mae_q10,mae_q25,mae_min,n_compositions
ATC[max],0.07658686187916472,0.02602599240192946,0.047372653714181055,0.0496828586223834,0.05118904984379178,0.05186721093228899,0.05282924472818405,0.05684470877610451,0.0672517573476272,0.041298023643418294,3465
ATC[nll_sum],0.08588105542058456,0.028518246222963506,0.0427202427701833,0.0448231943285854,0.046866952331720294,0.0483034590256851,0.04968656527448454,0.054282313509074274,0.06947382432036783,0.03603629407563645,3465
ATC[se_sum],0.08926066685710612,0.02283881278706329,0.04361022579688852,0.045453927610273594,0.04762247825729238,0.04971538792047544,0.05270959227257472,0.06726874979391455,0.07861571850477277,0.03601102014214024,3465
ATC[q10],0.10990600134034494,0.054280451147114606,0.06191980396566306,0.06419566764037125,0.06575614066944173,0.06825092921230537,0.07048888594684605,0.08448966473605712,0.0942908700781235,0.05430743817016699,3465
ATC[q25],0.1120723631187071,0.06503925602376932,0.0564866380220198,0.06172802339406581,0.06562717645526066,0.07030541770999232,0.07363564017181744,0.07858485420141748,0.09228518877580737,0.0476648233910838,3465
ATC[std],0.11451918037167093,0.09423295732349554,0.04118768431558341,0.04372922203094765,0.04614926978141327,0.04775753940447999,0.049830385928969316,0.05727813477389629,0.07323354593981124,0.034859821929088985,3465
ATC[nll_max],0.12647183130627443,0.13622585625629013,0.05183385986300965,0.05382264811633701,0.05575622636382833,0.05702305239986635,0.05838630530925873,0.0638055887633299,0.0823595318948262,0.04307378771665045,3465
ATC[mtp],0.12647183130627443,0.13609336106487918,0.05183385986300965,0.05382264811633701,0.05575622636382833,0.05702305239986635,0.05838630530925873,0.0638055887633299,0.0823595318948262,0.04307378771665045,3465
ES,0.1279619633645055,0.0729987749725787,0.04553710639934766,0.05495416193764175,0.058875648949063414,0.0626763978154527,0.06672003821000842,0.07872218813545163,0.0969351639783331,0.0309322593479133,3465
ATC[q50],0.12936447162643835,0.10309612774425751,0.05474116081008691,0.056132030812180767,0.057172119907807295,0.05826163561977137,0.05874163353328828,0.06322483796427028,0.08327721918543392,0.050959309999442835,3465
ATC[mean],0.1490828774010095,0.10885879103906529,0.050312684813726354,0.051524361995622714,0.05275537085149691,0.05412453229399525,0.055178074249945926,0.05947696108473509,0.07500731406171843,0.046858008768612874,3465
ATC[q90],0.16180945788190532,0.10280322345876022,0.051593031665951784,0.05344727406462759,0.054606563999033624,0.05544766836156052,0.05666028338127346,0.06140909411506065,0.08171553296644743,0.04730037832179979,3465
ATC[q75],0.1631412442095749,0.10128779624668291,0.04959327093757943,0.05091758436469638,0.05202834477326984,0.05295274148508062,0.05398624034464783,0.05703395958097292,0.09539044702897767,0.0457491215126024,3465
ATC[nll_avg],0.1717417698897053,0.056436771459155016,0.06736837504464416,0.06994941577978396,0.07301388041499578,0.07525641145328076,0.07773170886644759,0.09277211653298692,0.14608013032733674,0.059323020608466795,3465
ATC[ppl],0.1717417698897053,0.05636601725653176,0.06736837504464416,0.06994941577978396,0.07301388041499578,0.07525641145328076,0.07773170886644759,0.09277211653298692,0.14608013032733674,0.059323020608466795,3465
ATC[skewness],0.18356816020798636,0.12306839511941578,0.05226209318156699,0.05418622411377643,0.05568416376457795,0.05682108325637964,0.058175094503260874,0.06498154813699518,0.1239225227766064,0.04820145919089792,3465
ATC[kurtosis],0.18913817752379625,0.12676226832234136,0.05332134464564351,0.05535625505494169,0.056874954566116416,0.05831725375796923,0.05951559013619863,0.06582485345485767,0.12707042739301908,0.0479520910442003,3465
ATC[lntp],0.1950102946587228,0.13697014056122703,0.07346456152110342,0.07604388023611569,0.07851257433714308,0.08016579841292602,0.08237366957573808,0.0965431870497169,0.12029412796752226,0.06840358408354433,3465
