llm,suite,auroc,ae
phi3-3b,mathhendrycks-test,0.8437065637065637,0.00680574393663913
phi3-3b,gpqa-test,0.5814505776636714,0.03764555979064589
phi3-3b,scibench-test,0.7236575166645965,0.001067984313629644
phi3-3b,svamp-test,0.8569263059701493,0.055256673393291766
phi3-3b,livemathbench-test,0.8652482269503545,0.020171394667681475
phi3-3b,gsmsymbolic-test,0.7557004614894616,0.0870695562284991
phi3-3b,theoremqa-test,0.6580291080575656,0.002838842969503319
phi3-3b,matscibench-test,0.664613404431369,0.03215678400189148
ministral3-3b,mathhendrycks-test,0.7952810704022989,0.08539575097493779
ministral3-3b,gpqa-test,0.4998661619058544,0.03938970335329642
ministral3-3b,scibench-test,0.6253141911534505,0.06925234965362392
ministral3-3b,svamp-test,0.806109090909091,0.06080799554069927
ministral3-3b,livemathbench-test,0.49001536098310294,0.15787423458870048
ministral3-3b,gsmsymbolic-test,0.7098032272565606,0.00632115843861758
ministral3-3b,theoremqa-test,0.5933112773302647,0.08431897529297844
ministral3-3b,matscibench-test,0.6503401360544218,0.06682366307427678
ministral3-8b,mathhendrycks-test,0.829097399829497,0.11559200191205876
ministral3-8b,gpqa-test,0.5605603448275862,0.02991978691099431
ministral3-8b,scibench-test,0.6053981106612685,0.037938787753921066
ministral3-8b,svamp-test,0.8616742969260953,0.051683028059472336
ministral3-8b,livemathbench-test,0.5091575091575091,0.1677243424180969
ministral3-8b,gsmsymbolic-test,0.7376720859390511,0.05915612679599358
ministral3-8b,theoremqa-test,0.6144245524296674,0.1277366092469283
ministral3-8b,matscibench-test,0.634358824815922,0.054221365926601484
qwen3-4b,mathhendrycks-test,0.9212568561092309,0.0472945057230294
qwen3-4b,gpqa-test,0.6403998334027488,0.018705112441669253
qwen3-4b,scibench-test,0.6892697142360055,0.2658763564663336
qwen3-4b,svamp-test,0.8333021165012174,0.05014172920343829
qwen3-4b,livemathbench-test,0.6723484848484849,0.10980821527637358
qwen3-4b,gsmsymbolic-test,0.7800063712187842,0.007452714932438043
qwen3-4b,theoremqa-test,0.655145817567961,0.06403989742677285
qwen3-4b,matscibench-test,0.6647434471508546,0.23613653137353047
qwen3-8b,mathhendrycks-test,0.7224337496192508,0.04808076171961306
qwen3-8b,gpqa-test,0.5679636680945581,0.06130749936896851
qwen3-8b,scibench-test,0.6887258489461358,0.038594512352230215
qwen3-8b,svamp-test,0.7769243898276157,0.2916883737715098
qwen3-8b,livemathbench-test,0.6331845238095238,0.2509651243549732
qwen3-8b,gsmsymbolic-test,0.7345902179256151,0.11369048281165905
qwen3-8b,theoremqa-test,0.6061154177433248,0.06326102133436262
qwen3-8b,matscibench-test,0.6057703824502244,0.009426229345721016
gemma3-4b,mathhendrycks-test,0.8588410406981486,0.07949896664176281
gemma3-4b,gpqa-test,0.51296768707483,0.06284102614440137
gemma3-4b,scibench-test,0.8352948473430403,0.19185090519520873
gemma3-4b,svamp-test,0.8485818181818182,0.1609328659644237
gemma3-4b,livemathbench-test,0.5709908069458631,0.08556720023925628
gemma3-4b,gsmsymbolic-test,0.7926089220374237,0.0392989173329773
gemma3-4b,theoremqa-test,0.6620788631658197,0.007766777425836813
gemma3-4b,matscibench-test,0.6839848591431347,0.14140271454086842
gemma3-12b,mathhendrycks-test,0.8744207855251545,0.06153173579970772
gemma3-12b,gpqa-test,0.5817667643229166,0.0037616800793096317
gemma3-12b,scibench-test,0.736391129032258,0.20580738385643216
gemma3-12b,svamp-test,0.867737676056338,0.12286202443558203
gemma3-12b,livemathbench-test,0.45928030303030304,0.11551185236310066
gemma3-12b,gsmsymbolic-test,0.78362411772226,0.04451976861272322
gemma3-12b,theoremqa-test,0.6499906529960743,0.014512626309356791
gemma3-12b,matscibench-test,0.6626097178683387,0.14949101220521235
llama3-8b,mathhendrycks-test,0.8526044418824358,0.09913762132487203
llama3-8b,gpqa-test,0.5877831715210355,0.09114261356167265
llama3-8b,scibench-test,0.7509370740572467,0.12337083418941105
llama3-8b,svamp-test,0.7579682112522075,0.08986598820070302
llama3-8b,livemathbench-test,0.5207373271889402,0.03571446159482805
llama3-8b,gsmsymbolic-test,0.7504669173270219,0.023791011309978183
llama3-8b,theoremqa-test,0.6856220977874897,0.0032384429900513823
llama3-8b,matscibench-test,0.7213513634732688,0.1567485136355015
oss-20b,mathhendrycks-test,0.8274301763145576,0.045287039429307674
oss-20b,gpqa-test,0.6817637853263372,0.14664318872350157
oss-20b,scibench-test,0.54669107811664,0.30354839657558896
oss-20b,svamp-test,0.7860618427248469,0.09996220144648993
oss-20b,livemathbench-test,0.683794466403162,0.1907593504120039
oss-20b,gsmsymbolic-test,0.7093139721228383,0.1094640293456095
oss-20b,theoremqa-test,0.5600993811823891,0.1267471914667223
oss-20b,matscibench-test,0.6719756536566881,0.32554737751035323
