llm,suite,category,auroc,ae
phi3-3b,gsm-test,math,0.7424556657649534,0.16761206154163288
phi3-3b,gpqa-test,science,0.49406290115532736,0.09108426844970738
phi3-3b,svamp-test,math,0.8467817164179106,0.17960057362903892
phi3-3b,livemathbench-test,math,0.7163120567375886,0.10612595264608848
phi3-3b,gsmsymbolic-test,math,0.7449220868244647,0.05684305084620245
phi3-3b,theoremqa-test,math,0.6630945605333767,0.019535426399844513
phi3-3b,olympiadbench-test,math,0.7428155805038335,0.10680337011739603
phi3-3b,matscibench-test,science,0.6781128374858263,0.060077773703929
ministral3-3b,gsm-test,math,0.778794522999821,0.09567379676650645
ministral3-3b,gpqa-test,science,0.5731520783144048,0.12164383107518129
ministral3-3b,svamp-test,math,0.7823999999999999,0.11087333141977551
ministral3-3b,livemathbench-test,math,0.7803379416282643,0.3640976796068543
ministral3-3b,gsmsymbolic-test,math,0.727744294518712,0.04715740515126399
ministral3-3b,theoremqa-test,math,0.626082422324511,0.04337380921589701
ministral3-3b,olympiadbench-test,math,0.7696833982822467,0.19635553764595837
ministral3-3b,matscibench-test,science,0.6609942438513867,0.07650065662980743
ministral3-8b,gsm-test,math,0.7650040551500406,0.106321501121447
ministral3-8b,gpqa-test,science,0.5170833333333333,0.16176336211260353
ministral3-8b,svamp-test,math,0.8378024852844995,0.12221788472683259
ministral3-8b,livemathbench-test,math,0.6862026862026862,0.37935560667465706
ministral3-8b,gsmsymbolic-test,math,0.6671242182846933,0.11007549077734369
ministral3-8b,theoremqa-test,math,0.6284618195104128,0.05586711461035032
ministral3-8b,olympiadbench-test,math,0.7755069416536966,0.200666081940518
ministral3-8b,matscibench-test,science,0.6195373947980203,0.027582535115852125
qwen3-4b,gsm-test,math,0.7258556583087044,0.19189932144127453
qwen3-4b,gpqa-test,science,0.6451617381646536,0.03271102505884649
qwen3-4b,svamp-test,math,0.7827308484734969,0.2338271436020496
qwen3-4b,livemathbench-test,math,0.637310606060606,0.16191040783444022
qwen3-4b,gsmsymbolic-test,math,0.7125359641737187,0.15402927134703803
qwen3-4b,theoremqa-test,math,0.6711246289073869,0.04914668978458214
qwen3-4b,olympiadbench-test,math,0.8918577825450336,0.02071993967574204
qwen3-4b,matscibench-test,science,0.6628804730656583,0.11576508455682294
qwen3-8b,gsm-test,math,0.7656776745786035,0.3123530237291223
qwen3-8b,gpqa-test,science,0.5670315722671744,0.09475947908081356
qwen3-8b,svamp-test,math,0.8540706605222734,0.38575090933299017
qwen3-8b,livemathbench-test,math,0.6130952380952381,0.26309186608887847
qwen3-8b,gsmsymbolic-test,math,0.7269713797818347,0.2036563181476928
qwen3-8b,theoremqa-test,math,0.6304191788687913,0.07156523377399554
qwen3-8b,olympiadbench-test,math,0.8426947760926463,0.2119804419409156
qwen3-8b,matscibench-test,science,0.6795747072426914,0.006212844678824991
gemma3-4b,gsm-test,math,0.7394620505307528,0.26067400390111684
gemma3-4b,gpqa-test,science,0.6096513605442176,0.07019341198090129
gemma3-4b,svamp-test,math,0.8232727272727273,0.3339483156984604
gemma3-4b,livemathbench-test,math,0.5740551583248212,0.09362150199200216
gemma3-4b,gsmsymbolic-test,math,0.7638467010161761,0.21968300783946826
gemma3-4b,theoremqa-test,math,0.6765245623941275,0.057431836312591855
gemma3-4b,olympiadbench-test,math,0.900680045722223,0.05211593966583303
gemma3-4b,matscibench-test,science,0.6523716209426188,0.08115212817249742
gemma3-12b,gsm-test,math,0.8105127630989701,0.21437879494934997
gemma3-12b,gpqa-test,science,0.59429931640625,0.029671453382871138
gemma3-12b,svamp-test,math,0.8617957746478874,0.2816239967126686
gemma3-12b,livemathbench-test,math,0.521780303030303,0.13985855376565448
gemma3-12b,gsmsymbolic-test,math,0.7549907057832373,0.23462239641665983
gemma3-12b,theoremqa-test,math,0.6653269294373103,0.05520472766732526
gemma3-12b,olympiadbench-test,math,0.8530587309476475,0.04610367422778916
gemma3-12b,matscibench-test,science,0.6477782131661441,0.08280286278982535
llama3-8b,gsm-test,math,0.7275929516028526,0.17942854586015222
llama3-8b,gpqa-test,science,0.5853559870550161,0.1633932273924783
llama3-8b,svamp-test,math,0.703305020603818,0.27392058843186173
llama3-8b,livemathbench-test,math,0.4823348694316436,0.08499585175335397
llama3-8b,gsmsymbolic-test,math,0.713359997203789,0.13343194010168857
llama3-8b,theoremqa-test,math,0.6413292133296913,0.0033037493083296066
llama3-8b,olympiadbench-test,math,0.7390961572696524,0.08401903487514413
llama3-8b,matscibench-test,science,0.7187051489056333,0.1500621148282481
oss-20b,gsm-test,math,0.7212256524751712,0.23752580876613705
oss-20b,gpqa-test,science,0.6632606094080825,0.22850803820934784
oss-20b,svamp-test,math,0.7986187411709308,0.20342467745653758
oss-20b,livemathbench-test,math,0.6143421795595709,0.3055267842928341
oss-20b,gsmsymbolic-test,math,0.7067714262481704,0.21691127251103637
oss-20b,theoremqa-test,math,0.5654851005385719,0.012377515150172602
oss-20b,olympiadbench-test,math,0.8352045602566937,0.15077082746580006
oss-20b,matscibench-test,science,0.6380849753694581,0.2187996316505869
