llm,composition,weighted_acc,mae
phi3-3b,gsm-test+gsmsymbolic-test+svamp-test,0.727289896128423,0.2055836786030193
phi3-3b,gsm-test+gsmsymbolic-test+mathhendrycks-test,0.6933088909257562,0.1148674296708478
phi3-3b,gsm-test+gsmsymbolic-test+olympiadbench-test,0.6004834810636583,0.0455753371897059
phi3-3b,gpqa-test+gsm-test+gsmsymbolic-test,0.67762793275448,0.1081725411795768
phi3-3b,gsm-test+gsmsymbolic-test+scibench-test,0.6770684736091298,0.0981567511378481
phi3-3b,gsm-test+gsmsymbolic-test+theoremqa-test,0.678343949044586,0.1294164024907399
phi3-3b,gsm-test+gsmsymbolic-test+livemathbench-test,0.7090555014605647,0.1342252513930945
phi3-3b,gsm-test+gsmsymbolic-test+matscibench-test,0.6389787234042553,0.066194218770836
phi3-3b,gsm-test+mathhendrycks-test+svamp-test,0.736283185840708,0.1399345836159899
phi3-3b,gsm-test+olympiadbench-test+svamp-test,0.48752556237218814,0.0391867400296636
phi3-3b,gpqa-test+gsm-test+svamp-test,0.6860254083484574,0.102706893590384
phi3-3b,gsm-test+scibench-test+svamp-test,0.6834415584415584,0.1024298713585708
phi3-3b,gsm-test+svamp-test+theoremqa-test,0.6871035940803383,0.1274021708535206
phi3-3b,gsm-test+livemathbench-test+svamp-test,0.8050909090909091,0.1719950164436104
phi3-3b,gsm-test+matscibench-test+svamp-test,0.5768321513002365,0.0514903290044529
phi3-3b,gsm-test+mathhendrycks-test+olympiadbench-test,0.4310940499040307,0.0387199277620111
phi3-3b,gpqa-test+gsm-test+mathhendrycks-test,0.5874241588527302,0.0677424231193429
phi3-3b,gsm-test+mathhendrycks-test+scibench-test,0.5946215139442231,0.0796926499986238
phi3-3b,gsm-test+mathhendrycks-test+theoremqa-test,0.5999025341130604,0.0896492929458097
phi3-3b,gsm-test+livemathbench-test+mathhendrycks-test,0.6762214983713355,0.0940474045677374
phi3-3b,gsm-test+mathhendrycks-test+matscibench-test,0.505934065934066,0.0418108960856357
phi3-3b,gpqa-test+gsm-test+olympiadbench-test,0.39367928209129927,0.0346365130228736
phi3-3b,gsm-test+olympiadbench-test+scibench-test,0.4126178390137781,0.0436053691274972
phi3-3b,gsm-test+olympiadbench-test+theoremqa-test,0.4193433261955746,0.0434400004877835
phi3-3b,gsm-test+livemathbench-test+olympiadbench-test,0.4297592997811816,0.0334475784347788
phi3-3b,gsm-test+matscibench-test+olympiadbench-test,0.36198347107438017,0.0323630658181756
phi3-3b,gpqa-test+gsm-test+scibench-test,0.5493387589013224,0.0745592657055492
phi3-3b,gpqa-test+gsm-test+theoremqa-test,0.5557213930348258,0.0915352019822127
phi3-3b,gpqa-test+gsm-test+livemathbench-test,0.6188881446751507,0.0815045648753093
phi3-3b,gpqa-test+gsm-test+matscibench-test,0.464397671294223,0.049161785582743
phi3-3b,gsm-test+scibench-test+theoremqa-test,0.5650793650793651,0.1057667852990533
phi3-3b,gsm-test+livemathbench-test+scibench-test,0.6238151658767772,0.0812496271867099
phi3-3b,gsm-test+matscibench-test+scibench-test,0.4802306425041186,0.058559278023389
phi3-3b,gsm-test+livemathbench-test+theoremqa-test,0.6293302540415704,0.1068119497212849
phi3-3b,gsm-test+matscibench-test+theoremqa-test,0.4866504854368932,0.0668387881221812
phi3-3b,gsm-test+livemathbench-test+matscibench-test,0.5166240409207161,0.0477590250353816
phi3-3b,gsmsymbolic-test+mathhendrycks-test+svamp-test,0.6702586206896551,0.1200800344555977
phi3-3b,gsmsymbolic-test+olympiadbench-test+svamp-test,0.5666048237476808,0.0570659509086481
phi3-3b,gpqa-test+gsmsymbolic-test+svamp-test,0.6515876468029578,0.0975446424442944
phi3-3b,gsmsymbolic-test+scibench-test+svamp-test,0.6519924890465262,0.1013292746505316
phi3-3b,gsmsymbolic-test+svamp-test+theoremqa-test,0.6537109778788506,0.1250116749837767
phi3-3b,gsmsymbolic-test+livemathbench-test+svamp-test,0.6872685185185186,0.1209666551201333
phi3-3b,gsmsymbolic-test+matscibench-test+svamp-test,0.6090909090909091,0.0633389630117676
phi3-3b,gsmsymbolic-test+mathhendrycks-test+olympiadbench-test,0.5378378378378378,0.0604826245095593
phi3-3b,gpqa-test+gsmsymbolic-test+mathhendrycks-test,0.6151744430432955,0.0719529313200311
