factor,setting,mae_median,mae_iqr,rho_median,rho_iqr,n
Classifier,RF,0.11336669364278346,0.06526932386144267,0.9393939393939392,0.060606060606060774,55440
Classifier,LR,0.12484041981824195,0.06432711394541096,0.9393939393939392,0.060606060606060774,55440
Classifier,MLP,0.14646047721093355,0.08115604710315819,0.9393939393939392,0.060606060606060774,55440
Calibration,Y,0.12435077586853274,0.06808906988233365,0.9393939393939392,0.060606060606060774,83160
Calibration,N,0.13199516223856925,0.07755648787985392,0.9393939393939392,0.060606060606060774,83160
Balancing,Y,0.12992398447527986,0.06912786144884762,0.9393939393939392,0.060606060606060774,83160
Balancing,N,0.1259754287117344,0.07722187692700835,0.9393939393939392,0.060606060606060774,83160
Features,17D,0.1106411010689782,0.05984386773683341,0.9515151515151514,0.048484848484848464,41580
Features,10D,0.1365161345333622,0.06866447481682211,0.9272727272727272,0.07272727272727264,41580
Features,3D,0.12494928516554026,0.07216732656295353,0.9393939393939392,0.060606060606060774,41580
Features,1D,0.1419009272302727,0.08425980516108111,0.9393939393939392,0.060606060606060774,41580
